local_png	cell	fp	q	stored_bytes	stored_encode_ms	stored_ssim2	stored_zensim	origin_id	variant_name	width	height
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	212b132062447cfb	30	2265	162.214	39.617517	30.626270	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	2da456b397b08e13	50	4853	107.683	67.124449	63.911340	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	672916fc5182368d	70	8908	125.489	81.038712	78.817682	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	927bd759e32e27a3	85	15447	146.796	88.819947	88.367140	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	7c02c9cddeb0336b	95	27541	169.877	94.029450	91.892723	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	da3283310b32ad30	5	3202	3721.381	-2.853039	11.341753	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	be3a64f006cd07aa	15	4886	4281.320	14.058749	23.033125	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	52f1df4a97307b6a	30	9998	5271.733	44.437965	46.718849	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	5d111e4b7af2f456	50	18396	4522.122	69.751721	71.554895	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	c4ec826d2fb656fc	70	29780	3338.117	82.787603	84.520541	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	72062b4cc0db101e	85	51264	1685.092	89.722743	90.758314	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s2	98738a2c02896816	95	77830	1778.006	93.506006	92.702512	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	59e9a808df7c8e8a	5	3591	2017.953	-1.340812	8.877902	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	f90d48f228c684c0	15	5271	2189.488	14.168147	16.582615	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	ba8d29289cb66a80	30	10013	2427.020	44.278807	46.331806	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	b1e45ac1536d541c	50	18781	2428.344	69.511563	71.061508	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	3e1331aed438c8ee	70	30566	2859.178	82.919499	84.464133	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	f61d00169b21b7e8	85	51817	695.113	89.654414	90.704356	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4	e1974e4bc2185da0	95	78343	728.579	93.437921	92.639827	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	5f993060c3b255dd	5	3588	2174.597	-0.776777	11.594977	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	9e70635c32a6dcff	15	5203	2110.260	14.524425	22.257344	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	3327ddb6c30a50bf	30	10103	2496.514	45.775149	48.357602	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	3e4fbda1a0d6e4e3	50	19120	2608.288	70.608173	72.282351	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	0768633379786a29	70	30702	3043.697	83.333459	84.510001	5338	o_5338.png.scale495x640	495	640
